words,cosines,gold,pred-logistic_regression-default-loo,pred-nearest_neighbors-100-loo,pred-nearest_neighbors-1000-loo,pred-nearest_neighbors-200-loo,pred-nearest_neighbors-300-loo,pred-nearest_neighbors-400-loo,pred-nearest_neighbors-500-loo,pred-nearest_neighbors-600-loo,pred-nearest_neighbors-700-loo,pred-nearest_neighbors-800-loo,pred-nearest_neighbors-900-loo,pred-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868,pred-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647,pred-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309,pred-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390,pred-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo,pred-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo
eagle,0.5602904136787354,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moose,0.559686843798946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parakeet,0.5587583896843327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beetle,0.5565093708242309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moth,0.5546457858811042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whale,0.5526425951419371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hyena,0.5512810024546404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crayfish,0.5483185292322877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caterpillar,0.5472808569579826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cockroach,0.5459538949037475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nightingale,0.5452918527673103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skunk,0.5450091755338243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goat,0.5416109029361269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deer,0.5412748245681847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wolf,0.5398505126300299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eel,0.5379635616375338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant,0.5353334109394278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tarantula,0.5349924741999953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
housefly,0.5334980553775026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kangaroo,0.5330463358682069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
millipede,0.5295922658031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llama,0.5253448949269166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goldfish,0.5249296294619815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chicken,0.5245601594123962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
partridge,0.5245521119365548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orchid,0.5225727003414025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rat,0.521371132601616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cockerel,0.5189390928979188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shark,0.5185736187184697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jellyfish,0.5079068809528345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crab,0.503335375764469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
turkey,0.5020285704448078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walrus,0.500682659631666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bee,0.4989846580153874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dog,0.4975791176587613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fern,0.49192459961582763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mussel,0.49088077660053414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
centipede,0.4826568718842132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
octopus,0.48070781813554614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sheep,0.4776897463623564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hornet,0.471453798170004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cow,0.47020936667631175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
squid,0.46922616360079183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lion,0.4681205658380155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dove,0.46785995826934534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gerbil,0.4670163357755558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lamb,0.4608645815219823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lobster,0.46051239451808834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mosquito,0.45946915210469774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
donkey,0.4585974794584909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shrimp,0.4561686768934534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hamster,0.45329759369384703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trout,0.444133451673964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prawn,0.4413718734784734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lily,0.44113075542498126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
locust,0.43585303879591425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hawk,0.43481676052748175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mushroom,0.43427783400438597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dandelion,0.4325499031900711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salmon,0.43138428399067924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minnow,0.4198697022947452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carp,0.41827729245430345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oyster,0.40812431887835765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moss,0.40607885207327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camel,0.40566023392971406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
herring,0.40537593164115965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clam,0.40441890969997396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
radish,0.4030094429893002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pumpkin,0.40249772341039136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guinea_pig,0.40112477982009637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
courgette,0.3984323712175384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calf,0.3967473811387963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canary,0.3884261269736986,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
scallop,0.38829857534517753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bear,0.3856387842514989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cape,0.384802306342409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buttercup,0.384377638705889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doll,0.38129986439516916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ox,0.3802440405835259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worm,0.37915260227847797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
horse,0.3773504535069223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
satsuma,0.3754003828003275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sweet_potato,0.3739886936127953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melon,0.3734673642489804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leek,0.37321493265012295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kite,0.37293448065848145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flea,0.37236815980503235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cod,0.37162128835016195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willow,0.37061197440620836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daffodil,0.36870941415999736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
termite,0.36595073428257174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arrow,0.3652550315145686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hyacinth,0.3652383827242568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brussel_sprouts,0.3651294261282235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollerskate,0.3643439681378463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
watermelon,0.36416887452455116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuna,0.3641310460448296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seashell,0.36405769472135385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueberry,0.3621526651537468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tulip,0.361837394358749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pear,0.36101315144068136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabbage,0.3595268872455977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chestnut,0.35739077447225165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hutch,0.35550052722361714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elm,0.3549386463846367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daisy,0.3512851515015517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple,0.35109811284705084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peach,0.34990033575397195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asparagus,0.3487084303151937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mouse,0.3473556126557821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gherkin,0.3467323362131165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mackerel,0.3446334049068224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tomato,0.3399544750664852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
celery,0.3383341209070392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canoe,0.33710208862075697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artichoke,0.3340098590592405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
banana,0.3331550279219664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunflower,0.3330566182570671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lantern,0.33169974967927174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glider,0.331386208972587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jelly,0.3306323481634458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crossbow,0.33050191585848643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sardine,0.32983859881109456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cage,0.32858840326481953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apricot,0.32813266305590877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cauliflower,0.3263999438390064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cucumber,0.32629575232188157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seaweed,0.32569390355110417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thimble,0.3250970956772195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parsley,0.32424838528293476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olive,0.3236302542404503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aubergine,0.3217034502079187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geranium,0.32091678728328976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avocado,0.31972705662811607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bat,0.31834145950790893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bat,0.31834145950790893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frisbee,0.31716594206486937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sycamore,0.3171409603362132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spoon,0.31636318680535086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
potato,0.3162594669422666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soup,0.3160600704402912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jar,0.3146573392506925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rhubarb,0.31275326115155055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harpoon,0.31159230844557473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flounder,0.31121623424108286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marigold,0.31117401452665894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kayak,0.3106711332049431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chandelier,0.3083948558763855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strawberry,0.30819721325072824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
garlic,0.30817321869394926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bean,0.30622843083277174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pony,0.30598704651186326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
puppet,0.30537646266611707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pineapple,0.30433923513524663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
birch,0.30411542614901055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sultana,0.3037510845821717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jug,0.30367004597727876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crane,0.30300005959094006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crane,0.30300005959094006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
broccoli,0.30192325272192444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shawl,0.301700609007679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necklace,0.30131826900442593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mango,0.3013005005033975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boomerang,0.2994939499578976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leotard,0.2986518199326901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slippers,0.2974950153120127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
