words,cosines,gold,pred-logistic_regression-default-loo,pred-nearest_neighbors-100-loo,pred-nearest_neighbors-1000-loo,pred-nearest_neighbors-200-loo,pred-nearest_neighbors-300-loo,pred-nearest_neighbors-400-loo,pred-nearest_neighbors-500-loo,pred-nearest_neighbors-600-loo,pred-nearest_neighbors-700-loo,pred-nearest_neighbors-800-loo,pred-nearest_neighbors-900-loo,pred-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868,pred-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647,pred-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309,pred-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390,pred-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo,pred-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo
cutting_board,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
coffee_pot,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
chest_of_drawers,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
land_rover,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
armour,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
catalogue,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
castenets,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
kitchen_scales,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
doughnut,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
can_opener,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
oil_tanker,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
spirit_level,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
melon,0.6980116476698608,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
courgette,0.6703672632434443,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
pear,0.6634914673997423,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
peach,0.6535759268784893,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pineapple,0.6525382998292235,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
asparagus,0.6498390453545554,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
avocado,0.6480263831976949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cucumber,0.6453850575474731,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
banana,0.6417951191288709,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
strawberry,0.6377213511239112,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
tomato,0.636124226325591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rhubarb,0.6359302985441974,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
satsuma,0.6347307518159477,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
apricot,0.6325599446846046,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
mango,0.6312201471099834,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
radish,0.6244619001128464,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
celery,0.6234397958376733,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
artichoke,0.6217482509033756,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cauliflower,0.6199609162171582,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
watermelon,0.6156220708809563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pumpkin,0.6128258966658975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nectarine,0.6000139898208929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabbage,0.5999799411764692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple,0.5984125308233945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raspberry,0.5972021179110956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
broccoli,0.5968231335548546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
potato,0.5961867191347652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueberry,0.5951314292387546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sweet_potato,0.5933686106783075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lettuce,0.5907296069531618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aubergine,0.5896852954539581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parsley,0.5884305398156457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lemon,0.5851841330925824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kiwi_fruit,0.5819887201144305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pillow,0.5799995117027636,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
brussel_sprouts,0.579976741733351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grapefruit,0.5727408136750408,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
onion,0.5723024582255074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leek,0.5651086191115265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tangerine,0.5646774567131759,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
garlic,0.5646209926391415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jelly,0.5591733157858378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moss,0.5495660278163513,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coconut,0.5450936034175919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olive,0.5443752105749781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spinach,0.5432908400679286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chocolate,0.5424064280274092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peas,0.5419934305417993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheese,0.5413854372801874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spoon,0.5401115301486541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grape,0.5400998356633719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seaweed,0.532990187293767,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
dandelion,0.5328713536967011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scallop,0.5322214333425981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raisin,0.5322111094316758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shrimp,0.5286695193118044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biscuit,0.5257020411540729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bean,0.5249411764406144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crab,0.5246889637038384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marigold,0.52389911249471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lobster,0.5213411238698531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soup,0.5213225228942542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dressing_gown,0.5207038540078353,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
prawn,0.5206579086408235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sultana,0.5178569483050344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mushroom,0.5175912742208808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jar,0.5170229512159346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flannel,0.5142616623304122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mayonnaise,0.5140498725385485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sofa,0.5131968670886438,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
fern,0.5121904747950357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
turnip,0.5060289491943233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daisy,0.5043271284377593,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
cake,0.5036660320301873,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chicken,0.502069592751141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lamb,0.5001296660467768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peeler,0.49898274501141127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lime,0.4966522046223168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orchid,0.49300074899349294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daffodil,0.49274878212473827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frog,0.4922675772147259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rabbit,0.49166066844974193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bacon,0.49154364461476996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
currant,0.4871638380387354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lily,0.4866227568708106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yoghurt,0.48479698035106755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sellotape,0.48466776460115013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ketchup,0.4839974170222342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geranium,0.4833198340020717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buttercup,0.4830524060738725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuna,0.4804270820467662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tulip,0.4796984729130241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eucalyptus,0.47954566984347985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colander,0.4785707595849211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ladybird,0.4783086673618482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gherkin,0.47788744912576764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brandy,0.47782545968907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sandwich,0.4771227600832283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slippers,0.4758767141092737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seashell,0.47264625714441133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pine,0.4718990484288568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunflower,0.47182615433713654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carnation,0.47133815237901466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tray,0.4711112451972772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scarf,0.4693234299718157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
turkey,0.4686899602814578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cherry,0.4683287555304457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fridge,0.4681896811303127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
squid,0.4667806812209312,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
caterpillar,0.4664260539691871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
oak,0.4656080596694522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knickers,0.4653293103992491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toad,0.4622717818208804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blouse,0.4602343574965798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shawl,0.4594586357611561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sweater,0.45835956808830236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hyacinth,0.4571050501407897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mussel,0.45703391357455103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clam,0.45640368863307496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rice,0.4550415570423493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
budgie,0.4544271478130623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orange,0.45428373693009527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bed,0.4539206139396031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
napkin,0.45320642867427496,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
bread,0.45308148129226683,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coat,0.45298921572312156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sock,0.45211604928382854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
birch,0.4508779564840656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lizard,0.4466389389609618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tarantula,0.4453108496213327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willow,0.44407084432274235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trousers,0.44289822445868765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oyster,0.442706653865723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deckchair,0.4421977247703724,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
ice_cream,0.4412442997528385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flour,0.4410428423599858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carrot,0.44077857491222605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tights,0.4397393021559629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wasp,0.4394401068782447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hutch,0.43864699383850453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robin,0.43701185807829607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trowel,0.4365840786135002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coffee,0.4363257572673772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spatula,0.43566679597258634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pie,0.4356475076560279,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
bra,0.43563005023754214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocking_chair,0.43505372227487027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pansy,0.43498595462999234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grasshopper,0.4345406736916373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scorpion,0.4336532168972617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ham,0.4326014681796965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pig,0.43197929163208876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dresser,0.43170045801313506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peanut,0.4302138043308502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cockroach,0.4298992747715979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crayfish,0.4298631309589315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jug,0.429663304823543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doll,0.42843051863832493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cider,0.427808372797707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cape,0.426403940652615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cork,0.42524606069223825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corn,0.4247075728163293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sugar,0.4243709039823538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spider,0.4233233841734075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moth,0.42230587124472446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strainer,0.4203653802667292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eel,0.41984746883425894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
squirrel,0.41945263265168875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jellyfish,0.4194460349410788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crayon,0.4193360367847795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
iguana,0.4191789182100579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sardine,0.41911055047735396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hummingbird,0.4189351351729959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prune,0.4156723182975862,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
seahorse,0.41514845219200747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bookcase,0.41493808873930466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salmon,0.41278585418520075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lemonade,0.4120992332602731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bottle,0.4109854139895638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goldfish,0.41042881358614586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pencil,0.40925170980712905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snail,0.4085000873456951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apron,0.408075892551828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wine,0.40687630124106355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parka,0.406025405655987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chestnut,0.4045064632727334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sandals,0.4038179887684245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hedgehog,0.4033230159483739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tea,0.40297108177987917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shirt,0.40259580832477443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chandelier,0.4023011286675049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hair,0.4016635529643787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
owl,0.4010347907414278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant,0.4009196384902163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thimble,0.40035124961779217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lips,0.39927252178779093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mackerel,0.3990046666850776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gin,0.39835304171631225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monkey,0.3979113586828654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tweezers,0.3969204184654216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beetle,0.39576204952973715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
turtle,0.394723192851692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
centipede,0.3935601310421162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wren,0.39345094451387563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dress,0.39309209739357465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nail_polish,0.39229886400029645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penknife,0.3914304889101675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dragonfly,0.3914026462277769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
herring,0.39045699883510243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stockings,0.3903957103836423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toaster,0.38888066056628906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
partridge,0.3880608317935902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bikini,0.38762956499910306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duck,0.38710142929453106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacket,0.38661204210395606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter,0.38647746379253467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sycamore,0.38636887341114606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oven,0.3862409465716442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bee,0.3855685153270395,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
flamingo,0.385539553970156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leotard,0.38486182740324393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skunk,0.38472468408711347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necklace,0.3845326842349863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heron,0.3835573083013599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chipmunk,0.38256722350170314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hamster,0.3817411292047035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
broom,0.38099846016022304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeans,0.3809794643593261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lipstick,0.3806266061982255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
milk,0.3801151017311097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stool,0.378869363168177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ear,0.3783683542354298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plum,0.37834264774850657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marble,0.37828693887399556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
